Cause,DAVIDSON_Total_Rank,DAVIDSON_Total_Number,DAVIDSON_Total_Rate,DAVIDSON_Total_Age_Adjusted_Rate,DAVIDSON_Male_Rank,DAVIDSON_Male_Number,DAVIDSON_Male_Rate,DAVIDSON_Male_Age_Adjusted_Rate,DAVIDSON_Female_Rank,DAVIDSON_Female_Number,DAVIDSON_Female_Rate,DAVIDSON_Female_Age_Adjusted_Rate,Region,EAST_Total_Rank,EAST_Total_Number,EAST_Total_Rate,EAST_Total_Age_Adjusted_Rate,EAST_Male_Rank,EAST_Male_Number,EAST_Male_Rate,EAST_Male_Age_Adjusted_Rate,EAST_Female_Rank,EAST_Female_Number,EAST_Female_Rate,EAST_Female_Age_Adjusted_Rate,HAMILTON_Total_Rank,HAMILTON_Total_Number,HAMILTON_Total_Rate,HAMILTON_Total_Age_Adjusted_Rate,HAMILTON_Male_Rank,HAMILTON_Male_Number,HAMILTON_Male_Rate,HAMILTON_Male_Age_Adjusted_Rate,HAMILTON_Female_Rank,HAMILTON_Female_Number,HAMILTON_Female_Rate,HAMILTON_Female_Age_Adjusted_Rate,KNOX_Total_Rank,KNOX_Total_Number,KNOX_Total_Rate,KNOX_Total_Age_Adjusted_Rate,KNOX_Male_Rank,KNOX_Male_Number,KNOX_Male_Rate,KNOX_Male_Age_Adjusted_Rate,KNOX_Female_Rank,KNOX_Female_Number,KNOX_Female_Rate,KNOX_Female_Age_Adjusted_Rate,MADISON_Total_Rank,MADISON_Total_Number,MADISON_Total_Rate,MADISON_Total_Age_Adjusted_Rate,MADISON_Male_Rank,MADISON_Male_Number,MADISON_Male_Rate,MADISON_Male_Age_Adjusted_Rate,MADISON_Female_Rank,MADISON_Female_Number,MADISON_Female_Rate,MADISON_Female_Age_Adjusted_Rate,MID-CUMBERLAND_Total_Rank,MID-CUMBERLAND_Total_Number,MID-CUMBERLAND_Total_Rate,MID-CUMBERLAND_Total_Age_Adjusted_Rate,MID-CUMBERLAND_Male_Rank,MID-CUMBERLAND_Male_Number,MID-CUMBERLAND_Male_Rate,MID-CUMBERLAND_Male_Age_Adjusted_Rate,MID-CUMBERLAND_Female_Rank,MID-CUMBERLAND_Female_Number,MID-CUMBERLAND_Female_Rate,MID-CUMBERLAND_Female_Age_Adjusted_Rate,NORTHEAST_Total_Rank,NORTHEAST_Total_Number,NORTHEAST_Total_Rate,NORTHEAST_Total_Age_Adjusted_Rate,NORTHEAST_Male_Rank,NORTHEAST_Male_Number,NORTHEAST_Male_Rate,NORTHEAST_Male_Age_Adjusted_Rate,NORTHEAST_Female_Rank,NORTHEAST_Female_Number,NORTHEAST_Female_Rate,NORTHEAST_Female_Age_Adjusted_Rate,SHELBY_Total_Rank,SHELBY_Total_Number,SHELBY_Total_Rate,SHELBY_Total_Age_Adjusted_Rate,SHELBY_Male_Rank,SHELBY_Male_Number,SHELBY_Male_Rate,SHELBY_Male_Age_Adjusted_Rate,SHELBY_Female_Rank,SHELBY_Female_Number,SHELBY_Female_Rate,SHELBY_Female_Age_Adjusted_Rate,SOUTH CENTRAL_Total_Rank,SOUTH CENTRAL_Total_Number,SOUTH CENTRAL_Total_Rate,SOUTH CENTRAL_Total_Age_Adjusted_Rate,SOUTH CENTRAL_Male_Rank,SOUTH CENTRAL_Male_Number,SOUTH CENTRAL_Male_Rate,SOUTH CENTRAL_Male_Age_Adjusted_Rate,SOUTH CENTRAL_Female_Rank,SOUTH CENTRAL_Female_Number,SOUTH CENTRAL_Female_Rate,SOUTH CENTRAL_Female_Age_Adjusted_Rate,SOUTHEAST_Total_Rank,SOUTHEAST_Total_Number,SOUTHEAST_Total_Rate,SOUTHEAST_Total_Age_Adjusted_Rate,SOUTHEAST_Male_Rank,SOUTHEAST_Male_Number,SOUTHEAST_Male_Rate,SOUTHEAST_Male_Age_Adjusted_Rate,SOUTHEAST_Female_Rank,SOUTHEAST_Female_Number,SOUTHEAST_Female_Rate,SOUTHEAST_Female_Age_Adjusted_Rate,SULLIVAN_Total_Rank,SULLIVAN_Total_Number,SULLIVAN_Total_Rate,SULLIVAN_Total_Age_Adjusted_Rate,SULLIVAN_Male_Rank,SULLIVAN_Male_Number,SULLIVAN_Male_Rate,SULLIVAN_Male_Age_Adjusted_Rate,SULLIVAN_Female_Rank,SULLIVAN_Female_Number,SULLIVAN_Female_Rate,SULLIVAN_Female_Age_Adjusted_Rate,UPPER CUMBERLAND_Total_Rank,UPPER CUMBERLAND_Total_Number,UPPER CUMBERLAND_Total_Rate,UPPER CUMBERLAND_Total_Age_Adjusted_Rate,UPPER CUMBERLAND_Male_Rank,UPPER CUMBERLAND_Male_Number,UPPER CUMBERLAND_Male_Rate,UPPER CUMBERLAND_Male_Age_Adjusted_Rate,UPPER CUMBERLAND_Female_Rank,UPPER CUMBERLAND_Female_Number,UPPER CUMBERLAND_Female_Rate,UPPER CUMBERLAND_Female_Age_Adjusted_Rate,WEST_Total_Rank,WEST_Total_Number,WEST_Total_Rate,WEST_Total_Age_Adjusted_Rate,WEST_Male_Rank,WEST_Male_Number,WEST_Male_Rate,WEST_Male_Age_Adjusted_Rate,WEST_Female_Rank,WEST_Female_Number,WEST_Female_Rate,WEST_Female_Age_Adjusted_Rate
SEPTICEMIA,,,,,,,,,,,,,MID-CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,110,8.24672398889541,8.08013270496501,15,44,6.68886152536447,7.18525120990824,10,66,9.76254820258175,8.71119271222068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISEASES OF HEART,,,,,,,,,,,,,NORTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1151,325.272638382171,221.690237280838,1,654,374.952700920755,278.423380482574,1,497,276.980522194667,172.264279338666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALIGNANT NEOPLASMS,,,,,,,,,,,,,NORTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,994,280.904433146723,184.195707355306,2,545,312.460584100629,220.803454125783,2,449,250.229888260373,153.619040428757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LOWER RESPIRATORY DISEASES,,,,,,,,,,,,,NORTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,363,102.58381210489,68.1094457698499,4,169,96.8914471798282,68.2332026534011,3,194,108.117145484437,68.3427103251529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCIDENTS AND ADVERSE EFFECTS,,,,,,,,,,,,,NORTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,284,80.2584094704923,70.7159929733421,3,171,98.0380915251516,88.396770838389,4,113,62.9754507203166,54.4319395967421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREBROVASCULAR DISEASE,,,,,,,,,,,,,NORTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,184,51.9984061358119,35.2180702457652,5,85,48.732384676245,36.4723631712056,5,99,55.1731824894809,33.6631751335287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABETES MELLITUS,,,,,,,,,,,,,NORTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,130,36.7380043350845,24.8612411080199,6,83,47.5857403309216,34.5502079189729,8,47,26.1933290606626,16.166203937685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNEUMONIA AND INFLUENZA,,,,,,,,,,,,,NORTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,119,33.6294039682697,23.1113151053008,9,55,31.5327194963938,24.0809986354269,7,64,35.6675119123917,22.2000469445826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZHEIMER'S DISEASE,,,,,,,,,,,,,NORTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,96,27.1296032012932,18.6403456972715,12,30,17.1996651798512,14.2064244252291,6,66,36.7821216596539,21.4027231954934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LIVER DISEASE AND CIRRHOSIS,,,,,,,,,,,,,NORTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,95,26.8470031679464,20.9000928925854,8,65,37.2659412230109,29.2995316091468,10,30,16.7191462089336,12.9205486468404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUICIDE,,,,,,,,,,,,,NORTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,90,25.4340030012124,22.5665394746826,7,74,42.4258407769662,38.1644432304948,15,16,8.91687797809792,7.24368704039703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",,,,,,,,,,,,,NORTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,83,23.4558027677847,16.3526923932913,10,41,23.5062090791299,18.5147531173667,9,42,23.406804692507,14.5906701350208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISEASES OF HEART,,,,,,,,,,,,,SHELBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2061,219.918349577343,207.510714276755,1,1127,253.465186208075,272.348195127622,1,934,189.633503813989,158.231811658954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALIGNANT NEOPLASMS,,,,,,,,,,,,,SHELBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1694,180.757731287733,166.21096229603,2,885,199.038766454434,207.161096445124,2,809,164.254287564793,139.2651408082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCIDENTS AND ADVERSE EFFECTS,,,,,,,,,,,,,SHELBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,576,61.4618968251089,61.0725237405731,3,377,84.7882654839791,87.8987998462087,5,199,40.4037122687192,37.2101002401205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREBROVASCULAR DISEASE,,,,,,,,,,,,,SHELBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,491,52.3919988561258,50.3942225155866,4,225,50.6030762172289,54.5632426105266,3,266,54.006972178288,45.8651867267893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LOWER RESPIRATORY DISEASES,,,,,,,,,,,,,SHELBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,319,34.0387935541836,31.9050230109057,6,140,31.4863585351646,35.494282494176,6,179,36.3430376688479,30.0541837992881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZHEIMER'S DISEASE,,,,,,,,,,,,,SHELBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,294,31.3711765044827,32.4290739646538,8,90,20.2412304868916,28.2651004993719,4,204,41.418880918687,34.4697472734003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABETES MELLITUS,,,,,,,,,,,,,SHELBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,240,25.6091236771287,23.6512077898574,7,127,28.5626252426136,29.6160575188335,7,113,22.9428114892727,19.2922838709813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSAULT (HOMICIDE),,,,,,,,,,,,,SHELBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,226,24.1152581292962,24.5676728604196,5,202,45.4303173150233,45.7386577372726,17,24,4.87280951984553,4.83521573850135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPTICEMIA,,,,,,,,,,,,,SHELBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,188,20.0604802137508,18.7013909359909,9,85,19.1167176820642,20.5218392091513,8,103,20.9124741893371,17.2919008973924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNEUMONIA AND INFLUENZA,,,,,,,,,,,,,SHELBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,173,18.4599099839303,17.6614317984288,11,81,18.2171074382024,21.5372630206864,9,92,18.6791031594079,15.8556342495777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",,,,,,,,,,,,,SHELBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,145,15.4721788882653,14.9711753553774,12,71,15.9680818285478,17.9365487617493,10,74,15.0244960195237,13.1981966741068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUICIDE,,,,,,,,,,,,,SHELBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,110,11.737515018684,11.6928887504633,10,84,18.8918151210988,19.1451059694202,15,26,5.27887697983266,5.50954997362152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISEASES OF HEART,,,,,,,,,,,,,SOUTH CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1219,294.694293954536,234.177164763013,1,693,339.521142907536,304.794240736325,1,526,251.028453072951,175.704431737611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALIGNANT NEOPLASMS,,,,,,,,,,,,,SOUTH CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,955,230.8720678643,173.092874915048,2,551,269.951154028935,222.575490444785,2,404,192.805123652989,135.999310301867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LOWER RESPIRATORY DISEASES,,,,,,,,,,,,,SOUTH CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,328,79.2942808999901,60.4976985315462,4,158,77.4088608649215,66.2877457976149,4,170,81.1308688638815,56.5338184544545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCIDENTS AND ADVERSE EFFECTS,,,,,,,,,,,,,SOUTH CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,314,75.9097689103564,72.1425560212088,3,194,95.0463228341442,95.4569748061796,6,120,57.2688486097987,49.5211690947297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZHEIMER'S DISEASE,,,,,,,,,,,,,SOUTH CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,280,67.6902397926745,56.1590336469305,7,82,40.174218929896,42.9728864821591,3,198,94.4936002061679,64.1110155531406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREBROVASCULAR DISEASE,,,,,,,,,,,,,SOUTH CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,232,56.0861986853588,44.3950676263395,5,106,51.9325269093777,46.5818560771217,5,126,60.1322910402886,41.6771565348932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABETES MELLITUS,,,,,,,,,,,,,SOUTH CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,142,34.3286216091421,26.5473315142437,6,83,40.6641484290411,33.9139155595257,7,59,28.1571838998177,20.1495157015838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNEUMONIA AND INFLUENZA,,,,,,,,,,,,,SOUTH CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,95,22.9663313582288,18.560835826321,9,59,28.9058404495593,28.2745020446988,8,36,17.1806545829396,11.7192966176061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUICIDE,,,,,,,,,,,,,SOUTH CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,86,20.7905736506072,19.6831618407182,8,70,34.2950649401551,32.6413336905749,15,16,7.63584648130649,7.62105599254354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LIVER DISEASE AND CIRRHOSIS,,,,,,,,,,,,,SOUTH CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,75,18.1313142301807,14.5526580895609,10,51,24.9864044563987,20.9236338008123,12,24,11.4537697219597,8.71850878914694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARKINSON'S DISEASE,,,,,,,,,,,,,SOUTH CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,69,16.6808090917662,13.4855545113426,11,37,18.1273914683677,17.3639446755025,10,32,15.271692962613,10.5917156227564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",,,,,,,,,,,,,SOUTH CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,60,14.5050513841445,11.3245593496812,12,26,12.7381669777719,11.539670008921,9,34,16.2261737727763,11.2021107981536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISEASES OF HEART,,,,,,,,,,,,,SOUTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1111,327.758585593373,238.270665848312,1,644,384.117573378982,305.655568974272,1,467,272.602036051181,179.607427693525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALIGNANT NEOPLASMS,,,,,,,,,,,,,SOUTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,809,238.664892659801,171.245408701298,2,454,270.790960114997,209.513216744611,2,355,207.224245820491,140.719576418933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LOWER RESPIRATORY DISEASES,,,,,,,,,,,,,SOUTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,308,90.8637663031133,63.6449696920557,4,139,82.9073644404946,64.5283453618628,3,169,98.6504156159522,62.9559906556982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALZHEIMER'S DISEASE,,,,,,,,,,,,,SOUTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,242,71.3929592381604,53.4318768764282,6,73,43.5412777277418,40.1496760520038,3,169,98.6504156159522,62.5817521257549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCIDENTS AND ADVERSE EFFECTS,,,,,,,,,,,,,SOUTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,231,68.1478247273349,63.119800870929,3,143,85.2931878776311,81.2636240340496,6,88,51.3682637526852,45.9048487199471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREBROVASCULAR DISEASE,,,,,,,,,,,,,SOUTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,174,51.3321277166939,38.0616088143488,5,78,46.5235570241624,39.3301052195476,5,96,56.0381059120202,36.2881288785512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIABETES MELLITUS,,,,,,,,,,,,,SOUTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,143,42.1867486407312,31.773231083429,7,72,42.9448218684576,35.6686602507746,7,71,41.4448491640983,28.1101213330206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUICIDE,,,,,,,,,,,,,SOUTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,67,19.7658192932097,20.471122433761,8,53,31.6121605420591,31.8071560114845,14,14,8.17222377883628,9.42003662224613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNEUMONIA AND INFLUENZA,,,,,,,,,,,,,SOUTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,65,19.175794836696,14.1644185933665,13,22,13.1220289042509,10.9696443107119,8,43,25.1004016064257,16.4634164634967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",,,,,,,,,,,,,SOUTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,59,17.4057214671548,12.6015938679349,10,35,20.8759550749447,16.4581947283976,9,24,14.009526478005,9.56653089966461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARKINSON'S DISEASE,,,,,,,,,,,,,SOUTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,59,17.4057214671548,12.7244303584463,10,35,20.8759550749447,18.2674334170045,9,24,14.009526478005,8.80030525704979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LIVER DISEASE AND CIRRHOSIS,,,,,,,,,,,,,SOUTHEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,58,17.110709238898,13.9280511043055,9,38,22.6653226527971,20.2031067754891,11,20,11.6746053983375,7.61396161496085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISEASES OF HEART,,,,,,,,,,,,,SULLIVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,572,361.238821805689,229.908667581654,1,322,417.877906976744,299.616529361583,1,250,307.548469638815,171.957082704321,,,,,,,,,,,,,,,,,,,,,,,,
